SurveyID,Age,Gender,Type,Education,Income,Employed,FullPart,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,@9Comfort,BQ9a,@10Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001
W017,60,2,1,1,1,1,2,0,0,2,1,0,0,1,0,0,1,,,1,,,,1,,1,0,0,3,2,1,3,-2,2,-2,4,4,3,1,1,1,2,1,1,1,1,1,1,3,3,3,,1
W023,60,2,1,3,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,1,,,,,1,0,0,4,3,2,8,3,6,2,2,2,3,7,3,3,3,7,2,7,2,7,2,7,10,7,,3
W046,60,1,2,2,3,1,1,20,20,1,7,6,56,6,5,2.5,1,1,,,,,1,,,1,0,0,6,5,4,7,2,6,2,1,1,1,6,5,6,4,7,1,6,1,6.5,1,10,10,10,,2
W053,60,2,1,3,2,2,,15,15,1,6,5,28,3,2,0.75,1,,,,,,1,1,,1,0,0,5,4,3,5,0,3,-1,4,4,3,2,5,2,7,7,7,7,7,7,7,6,5,5,,4
W064,60,2,1,3,1,2,,13,13,1,5,4,12,6,5,2.5,1,,,,,,1,,,1,0,0,4,3,2,5,0,4,0,4,4,3,4,5,5,5,7,2,6,2,6.5,2,6,6,6,,4
W065,60,2,4,1,1,1,1,10,10,1,7,6,56,2,1,0.25,1,,1,,,,,,,2,1,3,4,3,2,6,1,5,1,1,1,1,4,3,4,5,7,7,7,7,7,7,10,9,8,,1
W087,60,2,1,3,1,2,,10,10,1,7,6,56,2,1,0.25,,1,1,1,1,,1,,,2,1,3,3,2,1,3,-2,4,0,2,3,1,2,3,3,1,3,3,4,4,3.5,3.5,4,5,5,,4
W093,60,1,1,2,1,1,2,12,2,1,7,6,56,3,2,0.75,1,1,1,,,,1,1,,1,0,0,5,4,3,2,-3,3,-1,5,1,1,5,5,5,5,5,1,5,1,5,1,2,3,3,,2
W115,60,2,1,3,1,2,,10,10,1,6,5,28,6,5,2.5,1,,,,,,,,,1,0,0,5,4,3,8,3,2,-2,2,3,3,2,3,2,2,7,2,7,2,7,2,2,2,2,,3
W122,60,1,1,4,1,2,,6,6,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,3,2,1,5,0,3,-1,3,3,3,4,3,2,2,3,1,4,1,3.5,1,5,5,5,,5
W125,60,1,2,4,1,1,1,10,10,1,7,6,56,7,6,3.5,,,1,,,,1,,,1,0,0,5,4,3,8,3,2,-2,1,1,1,5,4,5,4,5,6,4,6,4.5,6,6,6,6,,5
W149,60,2,1,3,5,1,2,20,20,1,7,6,56,3,2,0.75,1,1,1,1,,,1,,,1,0,0,5,4,3,4,-1,4,0,3,3,1,3,3,1,3,5,1,4,2,4.5,1.5,5,5,5,,4
W162,60,2,1,3,2,2,,15,15,1,7,6,56,3,2,0.75,1,1,,,,,1,,,1,0,0,5,4,3,6,1,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,,4
W178,60,2,1,3,2,2,,10,10,1,7,6,56,3,2,0.75,1,,1,,,,1,,,2,1,3,5,4,3,8,3,6,2,4,4,4,7,7,7,7,7,7,7,7,7,7,10,9,10,,3
W182,60,1,1,4,5,1,2,10,10,1,7,6,56,7,6,3.5,1,,1,,,1,1,,,1,0,0,4,3,2,8,3,3,-1,1,1,1,7,7,2,1,7,2,7,2,7,2,2,2,2,,5
W188,60,2,1,3,2,1,2,10,10,1,5,4,12,2,1,0.25,1,1,,,,,1,,,1,0,0,5,4,3,4,-1,4,0,3,3,2,3,3,2,2,3,1,3,2,3,1.5,5,5,5,,4
W193,60,2,1,1,3,2,,5,5,2,6,5,28,2,1,0.25,,,1,,,,,,,1,0,0,3,2,1,3,-2,3,-1,3,6,2,3,5,5,2,4,3,4,2,4,2.5,3,2,5,,1
W205,60,2,3,3,1,1,1,13,13,1,7,6,56,5,4,1.75,1,,,,,,1,,,1,0,0,6,5,4,2,-3,2,-2,1,1,1,1,2,3,1,2,2,2,1,2,1.5,5,3,3,,4
W225,60,2,1,3,2,2,,8,8,1,7,6,56,3,2,0.75,1,,,,,,1,,,6,5,23,4,3,2,3,-2,3,-1,2,2,2,2,2,1,2,1,1,2,1,1.5,1,2,1,1,,3
W235,60,2,1,2,2,2,,10,10,1,7,6,56,3,2,0.75,1,,,,,,1,,,1,0,0,4,3,2,7,2,5,1,1,1,1,7,7,4,7,7,3,7,3,7,3,8,8,7,,2
W240,60,2,1,3,1,2,,10,10,1,7,6,56,3,2,0.75,,,,,,,1,,,1,0,0,5,4,3,5,0,4,0,1,1,1,4,4,4,7,1,1,7,1,4,1,5,5,5,,4
W246,60,1,2,2,2,2,,12,12,1,7,6,56,2,1,0.25,1,,,,,,1,1,,1,0,0,5,4,3,8,3,4,0,1,1,1,7,4,7,1,5,4,7,3,6,3.5,7,5,6,,2
W259,60,2,1,2,1,2,,20,20,1,7,6,56,3,2,0.75,1,,,,,,1,,,1,0,0,5,4,3,6,1,5,1,5,2,1,5,4,5,2,4,4,4,4,4,4,7,7,7,,2
W260,60,2,2,2,1,1,1,10,10,1,7,6,56,6,5,2.5,1,1,1,,,,1,,,1,0,0,6,5,4,5,0,5,1,2,3,1,7,3,4,4,7,3,7,3,7,3,7,6,7,,2
W272,60,2,1,4,3,2,,10,10,1,7,6,56,4,3,1.25,1,1,,,1,1,1,1,,1,0,0,6,5,4,8,3,4,0,1,1,1,7,7,7,7,7,4,7,4,7,4,9,8,10,,5
W296,60,2,1,3,1,2,,20,20,1,7,6,56,3,2,0.75,1,1,,,,,1,,,1,0,0,5,4,3,6,1,4,0,1,1,1,6,5,4,7,7,7,7,7,7,7,6,6,5,,4
W301,60,2,1,1,5,2,,12,12,1,7,6,56,3,2,0.75,,,,,,,1,,,1,0,0,6,5,4,5,0,5,1,1,1,1,6,6,5,7,7,2,6,1,6.5,1.5,9,9,9,,1
S9,61,2,1,3,5,2,,12,12,1,5,4,12,3,2,0.75,1,,,,,,,,,1,0,0,4,3,2,5,0,3,-1,2,2,2,2,2,4,2,4,3,4,3,5.6,4.2,4,4,4,,3
S10,61,2,1,2,,1,2,12,12,1,7,6,56,3,2,0.75,1,,,,,,1,1,,1,0,0,6,5,4,8,3,6,2,1,1,1,4,4,3,3,5,4,4,3,6.3,4.9,8,8,8,,2
S17,61,1,1,2,5,1,2,,,1,5,4,12,3,2,0.75,1,1,,,,,1,,,1,0,0,4,3,2,,,5,1,4,3,2,1,1,3,4,5,3,5,2,7,3.5,5,5,5,,2
W011,61,2,1,3,1,1,1,12,12,1,7,6,56,2,1,0.25,,,1,,,,1,,,2,1,3,5,4,3,5,0,5,1,1,1,1,5,5,5,4,5,6,5,5,5,5.5,7,6,7,,3
W020,61,1,4,2,1,1,1,0,0,2,1,0,0,1,0,0,1,,1,,,,1,,,1,0,0,1,0,0,1,,1,,4,4,3,3,3,3,3,3,3,3,1,3,2,4,4,4,,2
W073,61,2,1,1,1,2,,8,8,1,7,6,56,7,6,3.5,1,,,,,,1,1,,1,0,0,4,3,2,7,2,5,1,1,1,1,7,5,5,7,7,7,7,6,7,6.5,7,7,7,,1
W082,61,2,3,3,1,2,,15,15,1,7,6,56,2,1,0.25,1,,1,,,1,,,,1,0,0,4,3,2,4,-1,4,0,1,1,1,1,1,2,1,1,2,2,2,1.5,2,5,5,5,,3
W113,61,2,1,3,1,2,,3,3,1,7,6,56,3,2,0.75,1,,1,,,,1,,,1,0,0,5,4,3,5,0,4,0,1,1,1,4,4,4,4,4,4,4,4,4,4,6,6,6,,3
W138,61,2,1,3,1,2,,16,16,2,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,5,4,3,6,1,5,1,1,1,1,6,4,3,7,7,3,7,2,7,2.5,9,6,5,,3
W141,61,2,1,3,1,2,,5,5,1,7,6,56,4,3,1.25,1,,,,,,1,,,1,0,0,2,1,0,8,3,6,2,1,1,1,7,7,7,4,7,1,7,1,7,1,10,10,10,,4
W142,61,2,1,2,2,2,,12,12,1,7,6,56,2,1,0.25,1,,1,,,,1,1,,1,0,0,6,5,4,8,3,4,0,4,1,1,4,4,4,5,7,3,7,3,7,3,6,6,6,,2
W167,61,2,1,2,1,2,,10,10,1,7,6,56,3,2,0.75,1,,1,,,,1,,,1,0,0,4,3,2,7,2,4,0,1,1,1,7,7,7,1,7,1,7,1,7,1,5,5,5,,2
W202,61,1,4,3,1,1,1,13,13,1,5,4,12,2,1,0.25,,,,,,,1,,,1,0,0,4,3,2,4,-1,3,-1,1,1,2,2,2,2,2,5,1,5,1,5,1,3,3,2,,4
W239,61,2,1,1,1,2,,15,15,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,4,3,2,4,-1,3,-1,3,3,3,3,2,2,3,3,1,3,1,3,1,5,3,3,,1
W273,61,2,1,3,1,2,,20,20,1,5,4,12,2,1,0.25,1,,1,,,1,1,,,1,0,0,5,4,3,7,2,4,0,1,1,1,3,2,5,1,6,1,3,1,4.5,1,6,6,6,,4
W302,61,2,1,1,5,1,2,5,5,1,2,1,0.5,2,1,0.25,,,,,,,1,1,,1,0,0,4,3,2,5,0,4,0,4,4,3,4,4,4,3,5,1,4,1,4.5,1,6,5,5,,1
S48,62,2,1,3,3,1,1,20,20,1,5,4,12,3,2,0.75,,,,,,,1,,,1,0,0,3,2,1,5,0,2,-2,1,1,1,1,1,1,1,3,1,3,1,4.2,1.4,3,3,3,,3
W004,62,2,1,2,1,2,,0,0,2,1,0,0,1,0,0,1,1,1,,,,,,,1,0,0,1,0,0,1,,1,,6,6,6,1,1,1,1,1,1,6,1,3.5,1,4,3,2,,2
W014,62,2,4,4,1,1,1,14,16,1,7,6,56,2,1,0.25,,,1,,,1,1,,,2,1,3,5,4,3,6,1,5,1,1,1,1,6,6,5,4,6,6,6,5,6,5.5,8,8,8,,5
W054,62,2,4,3,1,2,,2,1,2,5,4,12,2,1,0.25,1,,,,,,1,,,1,0,0,3,2,1,2,-3,4,0,1,1,2,3,3,3,2,3,2,3,2,3,2,6,5,5,,4
W060,62,2,1,3,5,2,,20,20,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,4,3,2,5,0,4,0,3,2,1,4,4,2,7,4,6,6,2,5,4,6,6,6,,4
W068,62,1,2,3,5,1,1,20,20,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,4,-1,4,0,2,2,1,2,2,2,2,7,2,2,2,4.5,2,2,2,2,,4
W084,62,2,1,3,5,2,,15,15,1,7,6,56,7,6,3.5,1,1,,,,,1,,,1,0,0,5,4,3,5,0,3,-1,1,1,1,4,3,4,4,4,1,4,1,4,1,5,5,5,,3
W106,62,2,4,1,1,1,1,12,12,1,7,6,56,2,1,0.25,,,,,,,,,,1,0,0,3,2,1,8,3,6,2,1,1,1,7,7,7,7,7,1,7,7,7,4,10,10,10,,1
W112,62,2,1,2,1,2,,10,10,2,7,6,56,2,1,0.25,1,,1,,,,1,,,1,0,0,4,3,2,3,-2,4,0,1,1,1,2,2,1,1,1,2,1,1,1,1.5,2,1,2,,2
W114,62,2,1,3,1,2,,10,10,2,2,1,0.5,1,0,0,,,1,,,,1,,,1,0,0,3,2,1,3,-2,3,-1,5,5,5,1,1,1,1,1,1,1,1,1,1,7,7,7,,4
W130,62,2,1,3,1,2,,10,10,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,3,-2,4,0,1,2,1,2,2,4,2,2,1,4,1,3,1,5,5,5,,3
W135,62,2,1,3,1,2,,7,7,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,3,2,1,3,-2,3,-1,2,2,1,2,2,2,1,3,1,2,3,2.5,2,5,6,4,,3
W136,62,2,1,2,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,5,0,3,-1,1,1,1,7,7,7,1,7,4,7,4,7,4,10,6,10,,2
W161,62,2,1,3,1,2,,10,10,1,7,6,56,3,2,0.75,1,1,,,,,1,,,2,1,3,4,3,2,5,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,,3
W173,62,1,1,3,1,1,1,10,10,1,6,5,28,3,2,0.75,,,,,,,,,,6,5,23,4,3,2,6,1,4,0,2,2,6,6,6,6,6,7,7,7,7,7,7,6,7,7,,3
W175,62,2,1,3,5,2,,5,5,1,7,6,56,5,4,1.75,1,1,1,,,,1,,,1,0,0,5,4,3,6,1,3,-1,2,3,2,2,3,3,5,5,4,4,4,4.5,4,5,4,4,,4
W187,62,1,1,3,2,1,2,10,10,2,7,6,56,2,1,0.25,1,1,,,,,1,,,2,1,3,4,3,2,6,1,4,0,3,3,3,5,5,5,5,5,3,5,3,5,3,7,6,6,,4
W207,62,2,1,3,5,2,,10,10,1,7,6,56,3,2,0.75,1,1,,,,,1,,,1,0,0,4,3,2,6,1,4,0,3,2,4,4,3,3,4,5,3,5,3,5,3,8,7,8,,4
W282,62,1,1,3,1,2,,10,10,2,7,6,56,3,2,0.75,1,,,,,,1,,,1,0,0,5,4,3,7,2,5,1,1,1,1,5,5,5,1,7,1,7,1,7,1,6,9,8,,3
W286,62,2,1,3,1,2,,15,15,1,7,6,56,2,1,0.25,1,,,,,,1,,,1,0,0,5,4,3,6,1,5,1,1,1,1,7,6,4,7,7,1,7,1,7,1,3,3,3,,4
W305,62,2,1,3,5,2,,6,6,1,7,6,56,2,1,0.25,,,,,,,1,,,1,0,0,3,2,1,3,-2,4,0,5,5,5,2,2,1,1,2,1,2,1,2,1,2,2,2,,3
S7,63,2,1,3,2,2,,15,15,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,,,,5,0,5,1,3,3,3,4,5,2,5,5,2,3,2,5.6,2.8,5,5,7,,3
S30,63,1,1,2,2,2,,10,10,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,4,3,2,5,0,5,1,1,1,2,3,3,3,2,3,3,3,1,4.2,2.8,6,6,6,,2
S39,63,1,1,1,2,1,1,,,2,1,0,0,1,0,0,1,,,,1,,,,,1,0,0,,,,5,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
W003,63,1,1,3,1,2,,10,10,2,7,6,56,5,4,1.75,,,1,,,,1,,,1,0,0,5,4,3,5,0,4,0,1,1,1,4,5,3,5,5,1,5,1,5,1,6,6,6,,4
W040,63,2,1,3,1,2,,10,10,1,6,5,28,2,1,0.25,,,1,,,,1,,,1,0,0,5,4,3,4,-1,4,0,3,4,3,5,5,3,4,5,5,6,6,5.5,5.5,6,6,7,,3
W041,63,2,1,1,1,2,,6,6,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,4,3,2,5,0,4,0,2,2,2,5,4,4,3,6,2,6,1,6,1.5,8,6,8,,1
W044,63,1,1,1,5,2,,12,12,1,5,4,12,5,4,1.75,,1,,,,,,,,1,0,0,5,4,3,5,0,1,,1,1,1,3,3,1,1,5,1,3,1,4,1,5,3,4,,1
W090,63,2,3,2,2,1,1,6,6,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,3,2,1,5,0,2,-2,4,4,7,4,4,4,1,4,1,7,1,5.5,1,1,6,1,,2
W155,63,2,1,1,1,2,,5,5,1,5,4,12,2,1,0.25,,,,,,,,,,1,0,0,4,3,2,7,2,5,1,3,3,3,5,5,3,3,7,1,7,1,7,1,8,8,8,,1
W185,63,2,1,2,5,1,2,10,10,1,7,6,56,3,2,0.75,1,1,1,,,1,1,,,1,0,0,4,3,2,5,0,4,0,1,7,1,4,2,2,1,7,2,2,2,4.5,2,10,10,10,,2
W189,63,2,1,3,1,2,,0,0,2,2,1,0.5,2,1,0.25,,1,,,,,1,,,1,0,0,3,2,1,3,-2,3,-1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,1,2,,4
W194,63,2,1,1,3,2,,5,5,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,2,1,0,5,0,4,0,4,4,4,7,7,7,7,7,7,7,7,7,7,10,10,10,,1
W218,63,1,1,2,5,2,,20,20,1,7,6,56,3,2,0.75,1,,1,,,,1,,,1,0,0,6,5,4,8,3,6,2,1,1,1,7,7,5,7,7,5,7,3,7,4,10,10,10,,2
W228,63,2,1,1,2,2,,5,5,2,5,4,12,2,1,0.25,,,,,,,1,,,1,0,0,3,2,1,4,-1,4,0,3,3,3,3,2,2,2,3,1,3,1,3,1,4,3,3,,1
W289,63,2,1,3,2,2,,5,5,1,7,6,56,5,4,1.75,1,1,1,,,,1,1,,1,0,0,4,3,2,6,1,4,0,2,2,2,4,4,3,3,5,2,5,2,5,2,7,7,7,,4
S28,64,2,1,2,2,1,1,10,10,1,7,6,56,1,0,0,,,,,,,,,,1,0,0,3,2,1,4,-1,2,-2,1,1,1,1,1,1,1,5,1,1,1,4.2,1.4,3,1,0,,2
W021,64,2,1,1,1,2,,1,1,1,2,1,0.5,2,1,0.25,1,,,,,,,,,1,0,0,2,1,0,3,-2,3,-1,3,3,3,1,1,1,1,2,1,2,1,2,1,2,2,2,,1
W030,64,2,1,3,1,2,,12,12,1,6,5,28,2,1,0.25,1,,,,,,,,,1,0,0,4,3,2,5,0,5,1,1,1,1,1,3,3,4,4,1,4,1,4,1,2,2,4,,4
W062,64,2,1,1,1,2,,8,8,1,5,4,12,2,1,0.25,,,1,,,,,,,1,0,0,2,1,0,3,-2,4,0,5,2,3,2,3,3,4,2,2,1,1,1.5,1.5,1,6,6,,1
W097,64,2,1,3,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,8,3,3,-1,2,2,2,6,6,1,7,7,1,7,2,7,1.5,6,3,2,,3
W250,64,2,1,2,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,,,,,,6,5,23,5,4,3,6,1,5,1,6,6,6,6,6,1,1,6,1,6,1,6,1,9,9,9,,2
W293,64,2,1,3,1,2,,5,5,1,5,4,12,5,4,1.75,1,1,1,,,,1,1,,1,0,0,5,4,3,5,0,4,0,1,1,1,6,6,5,5,7,3,7,4,7,3.5,8,6,9,,4
W308,64,2,2,2,5,2,,5,3,1,4,3,4,2,1,0.25,,1,,,,,1,1,,6,5,23,5,4,3,6,1,3,-1,1,1,1,3,3,3,1,5,5,5,1,5,3,5,3,3,,2
S40,65,1,1,3,2,1,2,30,20,1,3,2,1,1,0,0,,,,,,,,,,1,0,0,,,,4,-1,2,-2,2,4,2,2,1,1,1,2,1,1,1,2.1,1.4,1,0,0,,3
W022,65,1,1,1,1,2,,5,5,1,6,5,28,2,1,0.25,1,,,,,,,,,1,0,0,4,3,2,5,0,4,0,3,3,3,4,4,3,4,4,2,4,1,4,1.5,8,8,8,,1
W036,65,2,1,2,1,1,2,15,15,1,7,6,56,2,1,0.25,1,1,1,1,1,,1,,,2,1,3,5,4,3,5,0,4,0,1,1,1,7,7,7,4,7,5,7,2,7,3.5,10,10,10,,2
W043,65,1,3,4,2,1,2,7,7,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,6,1,5,1,1,1,1,5,5,3,3,6,1,6,1,6,1,8,8,8,,5
W067,65,2,1,3,1,2,,15,15,1,7,6,56,3,2,0.75,1,1,1,,,1,1,1,,1,0,0,6,5,4,5,0,4,0,1,1,1,7,5,7,4,7,3,6,2,6.5,2.5,10,10,10,,4
